n1,n2,edge_dir
L-Isoleucine,ENSMUSG00000057722-P,1
L-Isoleucine,ENSMUSG00000024687-P,1
L-Isoleucine,ENSMUSG00000029178-P,1
L-Isoleucine,ENSMUSG00000036641-P,1
L-Isoleucine,ENSMUSG00000037664-P,1
L-Isoleucine,ENSMUSG00000023967-P,-1
L-Isoleucine,ENSMUSG00000072704-P,1
L-Isoleucine,ENSMUSG00000031112-P,1
L-Isoleucine,ENSMUSG00000021676-P,1
L-Isoleucine,ENSMUSG00000027523-P,1
L-Isoleucine,ENSMUSG00000041720-P,-1
L-Isoleucine,ENSMUSG00000052534-P,1
L-Isoleucine,ENSMUSG00000060227-P,1
L-Isoleucine,ENSMUSG00000037646-P,1
L-Isoleucine,ENSMUSG00000029772-P,1
L-Isoleucine,ENSMUSG00000048612-P,1
L-Isoleucine,ENSMUSG00000006476-P,-1
L-Isoleucine,ENSMUSG00000052584-P,-1
L-Isoleucine,ENSMUSG00000024800-P,1
L-Isoleucine,ENSMUSG00000021149-P,1
L-Isoleucine,ENSMUSG00000020546-P,1
L-Isoleucine,Phenylalanine,1
L-Isoleucine,Serine,1
L-Isoleucine,Tyrosine,1
ENSMUSG00000036188-P,5-Oxohexanoic Acid,-1
5-Oxohexanoic Acid,ENSMUSG00000034064-P,1
5-Oxohexanoic Acid,ENSMUSG00000072772-P,1
5-Oxohexanoic Acid,ENSMUSG00000048106-P,-1
ENSMUSG00000068284-P,Deoxycholic Acid,1
ENSMUSG00000068284-P,D-Fructose,1
Deoxycholic Acid,ENSMUSG00000024921-P,1
Deoxycholic Acid,ENSMUSG00000030703-P,-1
Deoxycholic Acid,ENSMUSG00000071180-P,1
Deoxycholic Acid,ENSMUSG00000039899-P,-1
D-Fructose,ENSMUSG00000034579-P,-1
D-Fructose,ENSMUSG00000069631-P,1
D-Fructose,Syringic acid,-1
ENSMUSG00000063894-P,D-(-)-Fructopyranose,1
D-(-)-Fructopyranose,ENSMUSG00000027782-P,1
D-(-)-Fructopyranose,ENSMUSG00000032261-P,1
D-(-)-Fructopyranose,ENSMUSG00000039000-P,1
ENSMUSG00000027536-P,"2-Butenoic acid, 2-hydroxy-",-1
"2-Butenoic acid, 2-hydroxy-",ENSMUSG00000038859-P,1
"2-Butenoic acid, 2-hydroxy-",ENSMUSG00000038836-P,1
"2-Butenoic acid, 2-hydroxy-",ENSMUSG00000006800-P,-1
"2-Butenoic acid, 2-hydroxy-",ENSMUSG00000044617-P,-1
"2-Butenoic acid, 2-hydroxy-",1-Tetradecanol,1
"2-Butenoic acid, 2-hydroxy-","2',2,3,6'-Tetramethoxychalcone",-1
"2-Butenoic acid, 2-hydroxy-",3-Deoxyhexitol,1
"2-Butenoic acid, 2-hydroxy-",Butyl Succinate,1
"2-Butenoic acid, 2-hydroxy-",Dodecanamide,-1
"2-Butenoic acid, 2-hydroxy-","Hexadecanoic acid, 4-hydroxybutyl ester",1
"2-Butenoic acid, 2-hydroxy-","Xylonic acid, delta-lactone",1
ENSMUSG00000069727-P,1-Hexacosene,1
ENSMUSG00000069727-P,"2,5-Dimethoxyphenol",1
ENSMUSG00000069727-P,"2-Allyl-1,4-dimethoxybenzene ",1
ENSMUSG00000069727-P,"2-Butenoic acid, 2-methyl-, 2-methyl-2-propenyl ester",1
ENSMUSG00000069727-P,3-Hexenedioic acid,1
1-Hexacosene,ENSMUSG00000019907-P,1
1-Hexacosene,ENSMUSG00000035011-P,1
1-Hexacosene,ENSMUSG00000022085-P,1
1-Hexacosene,Ethyl glycolate,1
"2,5-Dimethoxymandelic acid",alpha-D-Xylopyranose,-1
"2,5-Dimethoxymandelic acid",l-Leucyl-l-valine,1
"2,5-Dimethoxyphenol",ENSMUSG00000039253-P,1
"2,5-Dimethoxyphenol","2-Allyl-1,4-dimethoxybenzene ",1
"2,5-Dimethoxyphenol",2-Hydroxy-3-methylbutyric acid,1
"2,5-Dimethoxyphenol","3,4-Dihydrocoumarin, 4,4-dimethyl-6-dimethylamino",1
"2,5-Dimethoxyphenol",L-Valyl-L-leucine,1
"2,5-Dimethoxyphenol",Syringaldehyde,1
"2-Allyl-1,4-dimethoxybenzene ",ENSMUSG00000039253-P,1
"2-Allyl-1,4-dimethoxybenzene ",ENSMUSG00000030060-P,-1
"2-Allyl-1,4-dimethoxybenzene ",ENSMUSG00000030862-P,1
"2-Allyl-1,4-dimethoxybenzene ",ENSMUSG00000025016-P,1
"2-Allyl-1,4-dimethoxybenzene ",ENSMUSG00000032348-P,1
"2-Allyl-1,4-dimethoxybenzene ",3-Hexenedioic acid,1
"2-Allyl-1,4-dimethoxybenzene ",4-Pyridinol,1
"2-Allyl-1,4-dimethoxybenzene ",Syringaldehyde,1
"2-Butenoic acid, 2-methyl-, 2-methyl-2-propenyl ester",ENSMUSG00000056735-P,1
"2-Butenoic acid, 2-methyl-, 2-methyl-2-propenyl ester",Cyclohexanecarboxylic acid,1
"2-Butenoic acid, 2-methyl-, 2-methyl-2-propenyl ester","Hexadecanoic acid, 4-hydroxybutyl ester",1
"2-Butenoic acid, 2-methyl-, 2-methyl-2-propenyl ester",Methyl stearate,1
"2-Butenoic acid, 2-methyl-, 2-methyl-2-propenyl ester",Myristic acid,1
"2-Butenoic acid, 2-methyl-, 2-methyl-2-propenyl ester",Nonadecanoic acid,1
"2-Butenoic acid, 2-methyl-, 2-methyl-2-propenyl ester",Pentanoic acid,1
"2-Butenoic acid, 2-methyl-, 2-methyl-2-propenyl ester","Propanoic acid, 2-hydroxy-3-phosphate-",1
"2-Butenoic acid, 2-methyl-, 2-methyl-2-propenyl ester",Tetrahydrogeranyl formate,1
3-Hexenedioic acid,ENSMUSG00000043467-P,1
3-Hexenedioic acid,5-Hydroxymethyl-2-furoic acid,1
3-Hexenedioic acid,beta-Arabinopyranose,1
3-Hexenedioic acid,L-5-Oxoproline,1
3-Hexenedioic acid,L-Valyl-L-leucine,1
3-Hexenedioic acid,Syringaldehyde,1
Methyl stearate,6-Hydroxyhexanoic acid,1
Methyl stearate,Pentadecanoic acid,1
Methyl stearate,Tetrahydrogeranyl formate,1
L-Asparagine,3-Amino-2-piperidone,1
ENSMUSG00000039253-P,2-Ethylhexanoic acid,1
ENSMUSG00000039253-P,pyrazole,1
ENSMUSG00000039253-P,beta-Alanine,1
ENSMUSG00000039253-P,L-5-Oxoproline,1
ENSMUSG00000039253-P,Niacin,1
ENSMUSG00000039253-P,Phenol,1
ENSMUSG00000039253-P,Syringaldehyde,1
ENSMUSG00000039253-P,Urea,1
2-Ethylhexanoic acid,ENSMUSG00000086610-P,1
2-Ethylhexanoic acid,ENSMUSG00000032482-P,-1
2-Ethylhexanoic acid,ENSMUSG00000035941-P,1
2-Ethylhexanoic acid,ENSMUSG00000029790-P,1
2-Ethylhexanoic acid,ENSMUSG00000041408-P,1
2-Ethylhexanoic acid,ENSMUSG00000020135-P,-1
2-Ethylhexanoic acid,ENSMUSG00000029684-P,1
2-Ethylhexanoic acid,ENSMUSG00000031112-P,1
2-Ethylhexanoic acid,ENSMUSG00000027523-P,1
2-Ethylhexanoic acid,ENSMUSG00000022023-P,1
2-Ethylhexanoic acid,ENSMUSG00000006476-P,-1
2-Ethylhexanoic acid,ENSMUSG00000040242-P,1
2-Ethylhexanoic acid,ENSMUSG00000025894-P,1
2-Ethylhexanoic acid,ENSMUSG00000074994-P,1
2-Ethylhexanoic acid,ENSMUSG00000025862-P,1
2-Ethylhexanoic acid,D-Mannopyranose,-1
2-Ethylhexanoic acid,Phenol,1
pyrazole,ENSMUSG00000072704-P,1
pyrazole,ENSMUSG00000027523-P,1
pyrazole,ENSMUSG00000044927-P,-1
pyrazole,ENSMUSG00000045930-P,1
pyrazole,ENSMUSG00000052584-P,-1
pyrazole,ENSMUSG00000048330-P,1
pyrazole,ENSMUSG00000024800-P,1
pyrazole,Isonicotinic Acid,1
beta-Alanine,ENSMUSG00000035941-P,1
beta-Alanine,ENSMUSG00000033411-P,1
beta-Alanine,ENSMUSG00000062044-P,-1
beta-Alanine,ENSMUSG00000037664-P,1
beta-Alanine,ENSMUSG00000091549-P,1
beta-Alanine,ENSMUSG00000030108-P,-1
beta-Alanine,ENSMUSG00000041720-P,-1
beta-Alanine,ENSMUSG00000052534-P,1
beta-Alanine,ENSMUSG00000091475-P,-1
beta-Alanine,ENSMUSG00000037646-P,1
beta-Alanine,ENSMUSG00000054720-P,1
beta-Alanine,ENSMUSG00000006476-P,-1
beta-Alanine,ENSMUSG00000032560-P,1
beta-Alanine,ENSMUSG00000043241-P,1
beta-Alanine,L-Glutamic acid,1
beta-Alanine,N-Acetyl-L-glutamic acid,1
beta-Alanine,Pantothenic acid ,1
beta-Alanine,Thymidine,1
Kojic acid,4-Hydroxybenzoic acid,1
L-5-Oxoproline,ENSMUSG00000035941-P,1
L-5-Oxoproline,ENSMUSG00000021686-P,1
L-5-Oxoproline,ENSMUSG00000054364-P,-1
L-5-Oxoproline,ENSMUSG00000032251-P,1
L-5-Oxoproline,ENSMUSG00000024873-P,-1
L-5-Oxoproline,ENSMUSG00000032602-P,1
L-5-Oxoproline,ENSMUSG00000025862-P,1
L-5-Oxoproline,ENSMUSG00000071369-P,1
L-5-Oxoproline,L-(-)-Sorbofuranose,1
L-5-Oxoproline,L-Glutamic acid,1
L-5-Oxoproline,Pantothenic acid ,1
L-5-Oxoproline,Syringic acid,-1
Niacin,Niacinamide,1
Niacin,3-(3-Hydroxyphenyl)propanoic acid,-1
Niacin,L-(-)-Sorbofuranose,1
Niacin,N-Acetyl-L-glutamic acid,1
Phenol,ENSMUSG00000036371-P,1
Phenol,ENSMUSG00000004698-P,-1
Phenol,ENSMUSG00000035941-P,1
Phenol,ENSMUSG00000057367-P,1
Phenol,ENSMUSG00000002455-P,1
Phenol,ENSMUSG00000029291-P,-1
Phenol,ENSMUSG00000021686-P,1
Phenol,ENSMUSG00000029684-P,1
Phenol,ENSMUSG00000044927-P,-1
Phenol,ENSMUSG00000064246-P,1
Phenol,ENSMUSG00000001089-P,1
Phenol,ENSMUSG00000027957-P,1
Phenol,ENSMUSG00000003190-P,1
Phenol,ENSMUSG00000045284-P,1
Phenol,ENSMUSG00000045098-P,1
Phenol,Xanthine,1
Phenol,2-tert-Butyl-4-ethylphenol ,1
Phenol,Cholesterol,1
Phenol,"Cyclopenta[g]-2-benzopyran, 1,3,4,6,7,8-hexahydro-4,6,6,7,8,8-hexamethyl",1
Syringaldehyde,ENSMUSG00000035941-P,1
Syringaldehyde,ENSMUSG00000014075-P,1
Syringaldehyde,ENSMUSG00000072704-P,1
Syringaldehyde,ENSMUSG00000019464-P,1
Syringaldehyde,ENSMUSG00000021686-P,1
Syringaldehyde,ENSMUSG00000027523-P,1
Syringaldehyde,ENSMUSG00000029772-P,1
Syringaldehyde,ENSMUSG00000064338-P,-1
Syringaldehyde,ENSMUSG00000064340-P,-1
Syringaldehyde,ENSMUSG00000025016-P,1
Syringaldehyde,ENSMUSG00000025862-P,1
Syringaldehyde,ENSMUSG00000032348-P,1
Syringaldehyde,"3,4-Dihydrocoumarin, 4,4-dimethyl-6-dimethylamino",1
Syringaldehyde,beta-D-(-)-Ribopyranose,1
Syringaldehyde,"D-(+)-Ribono-1,4-lactone ",1
Syringaldehyde,"Erythrono-1,4-lactone",1
Syringaldehyde,L-Valyl-L-leucine,1
Syringaldehyde,"Propanoic acid, 2-oxo",1
Urea,ENSMUSG00000035941-P,1
Urea,ENSMUSG00000062937-P,1
Urea,ENSMUSG00000001687-P,1
Urea,ENSMUSG00000037664-P,1
Urea,ENSMUSG00000041408-P,1
Urea,ENSMUSG00000021482-P,1
Urea,ENSMUSG00000072704-P,1
Urea,ENSMUSG00000037742-P,1
Urea,ENSMUSG00000046351-P,1
Urea,ENSMUSG00000021676-P,1
Urea,ENSMUSG00000052534-P,1
Urea,ENSMUSG00000022023-P,1
Urea,ENSMUSG00000029772-P,1
Urea,ENSMUSG00000011831-P,1
Urea,ENSMUSG00000054720-P,1
Urea,ENSMUSG00000052584-P,-1
Urea,ENSMUSG00000040242-P,1
Urea,ENSMUSG00000048330-P,1
Urea,ENSMUSG00000042557-P,1
Urea,ENSMUSG00000057440-P,1
Urea,ENSMUSG00000030616-P,1
Urea,ENSMUSG00000021929-P,1
Urea,ENSMUSG00000025016-P,1
Urea,ENSMUSG00000025862-P,1
Urea,ENSMUSG00000031715-P,1
Urea,ENSMUSG00000036087-P,1
ENSMUSG00000036371-P,1-Dodecanol,1
ENSMUSG00000036371-P,Benzoic Acid,1
ENSMUSG00000036371-P,D-Allofuranose,1
11-Methyldodecanol,"Acetamide, N-(2-butyl)-N-methyl-",1
11-Methyldodecanol,D-(+)-Talofuranose,-1
11-Methyldodecanol,"Guanidine, N,N-dimethyl",1
11-Methyldodecanol,"Hexadecanoic acid, 4-hydroxybutyl ester",1
1-Dodecanol,ENSMUSG00000027706-P,1
1-Dodecanol,ENSMUSG00000029684-P,1
1-Dodecanol,ENSMUSG00000005045-P,-1
1-Dodecanol,ENSMUSG00000027957-P,1
1-Dodecanol,ENSMUSG00000045098-P,1
1-Dodecanol,2'-Deoxyribolactone,1
1-Dodecanol,3-Deoxyhexitol,1
1-Dodecanol,D-Arabinose,-1
1-Dodecanol,"Hexadecanoic acid, 4-hydroxybutyl ester",1
1-Dodecanol,Undecanoic acid,1
Benzoic Acid,ENSMUSG00000043991-P,1
Benzoic Acid,ENSMUSG00000035011-P,1
Benzoic Acid,ENSMUSG00000027706-P,1
Benzoic Acid,ENSMUSG00000059820-P,1
Benzoic Acid,ENSMUSG00000054720-P,1
Benzoic Acid,ENSMUSG00000048330-P,1
Benzoic Acid,13-Docosenamide,1
Benzoic Acid,Arachidic acid,1
Benzoic Acid,Pentanoic acid,1
Benzoic Acid,"Propane, 2-methyl",1
Benzoic Acid,Pyridoxic acid,1
Benzoic Acid,Stearic acid,1
D-Allofuranose,ENSMUSG00000043991-P,1
D-Allofuranose,ENSMUSG00000027706-P,1
D-Allofuranose,ENSMUSG00000027957-P,1
D-Allofuranose,Octadecyl octyl ether,1
"Hexadecanoic acid, ethyl ester",2'-Deoxyribolactone,1
"Hexadecanoic acid, ethyl ester",2-Hydroxy-3-methylbutyric acid,1
"Hexadecanoic acid, ethyl ester","Acetamide, N-(2-butyl)-N-methyl-",1
"Hexadecanoic acid, ethyl ester",d-Erythrotetrofuranose,1
"Hexadecanoic acid, ethyl ester",Heptadecanoic acid,1
"Hexadecanoic acid, ethyl ester","Hexadecanoic acid, methyl ester",1
"Hexadecanoic acid, ethyl ester",Octadecyl octyl ether,1
"Hexadecanoic acid, ethyl ester",Pentadecanoic acid,1
ENSMUSG00000094595-P,L-Valyl-L-leucine,1
L-Valyl-L-leucine,ENSMUSG00000014075-P,-1
L-Valyl-L-leucine,ENSMUSG00000024687-P,-1
L-Valyl-L-leucine,ENSMUSG00000021482-P,-1
L-Valyl-L-leucine,ENSMUSG00000032018-P,-1
L-Valyl-L-leucine,ENSMUSG00000020752-P,1
L-Valyl-L-leucine,ENSMUSG00000065799-P,-1
L-Valyl-L-leucine,ENSMUSG00000052584-P,1
L-Valyl-L-leucine,ENSMUSG00000070643-P,-1
L-Valyl-L-leucine,ENSMUSG00000019088-P,-1
L-Valyl-L-leucine,3-(3-Hydroxyphenyl)propanoic acid,-1
L-Valyl-L-leucine,Cyclohexanemethanol,-1
L-Valyl-L-leucine,"Xylonic acid, delta-lactone",1
ENSMUSG00000041126-P,Azelaic acid,1
ENSMUSG00000041126-P,l-Leucyl-l-valine,1
2-Piperidinone,ENSMUSG00000062044-P,-1
2-Piperidinone,ENSMUSG00000037664-P,1
2-Piperidinone,ENSMUSG00000027523-P,1
2-Piperidinone,ENSMUSG00000099689-P,1
2-Piperidinone,ENSMUSG00000087083-P,1
2-Piperidinone,ENSMUSG00000022023-P,1
2-Piperidinone,ENSMUSG00000037646-P,1
2-Piperidinone,ENSMUSG00000085776-P,1
2-Piperidinone,ENSMUSG00000068196-P,1
2-Piperidinone,ENSMUSG00000006476-P,-1
2-Piperidinone,ENSMUSG00000045284-P,1
2-Piperidinone,ENSMUSG00000025016-P,1
2-Piperidinone,5-Aminovaleric acid,1
2-Piperidinone,Butanedioic acid,1
2-Piperidinone,N-Acetyl-L-glutamic acid,-1
2-Piperidinone,"Thymine, 1,3-dimethyl-6-hydroxymethyl",-1
l-Leucyl-l-valine,ENSMUSG00000020777-P,1
l-Leucyl-l-valine,ENSMUSG00000072772-P,1
l-Leucyl-l-valine,ENSMUSG00000058351-P,1
l-Leucyl-l-valine,ENSMUSG00000062040-P,1
N-Ethyldiethanolamine,N-Methyl-alpha-aminoisobutyric acid,1
